Date_Extracted,Grade_Level,Unit,Resource,Location,Instructional_Moment,Page_Numbers,Improvement_Description,Improvement_Type,Date_Updated
2025-12-06,Grade 4,Unit 9,Teacher Guide,"Section B, Lesson 4, Activity 1",,359,"The answers for b, c, and d have been updated to end in 84 instead of 48.",,2025-10-09
2025-12-06,Grade 4,Unit 9,"Teacher Resource Pack, End-of-course Assessment, Problem 17b",,,169,The fraction in the problem stem has been updated to 3 1 5 .,,2025-10-09
2025-12-06,Grade 4,Unit 9,"Teacher Resource Pack, Cool-down, Lesson 1",,,356,The student response for Problem 2 has been updated to 15 10 − 53 100 − 9 10 + 13 10 or 15 10 + 9 10 + 53 100 − 13 10 .,,2025-10-09
2025-12-06,Grade 4,Unit 9,Teacher Guide,"Section C, Lesson 9, Activity 1",,400,Problem 2 in the table has been updated to 56−31=25 .,,2025-10-09
2025-12-06,Grade 5,Unit 1,Teacher Guide,"Section A, Lesson 1, Practice Problem 5",,49,"For option B, the image shown should have 8 cubes (assuming one cube is hidden).",,2025-08-28
2025-12-06,Grade 5,Unit 1,"Student Workbook, Section A, Lesson 1, Practice Problem 5",,,21,"For option B, the image shown should have an identical set of cubes behind the first layer.",,2025-08-28
2025-12-06,Grade 5,Unit 1,Teacher Guide,"Section C, Lesson 11, Practice Problem 4",,133,"The figure has been updated to show the 4ft measurement against the forward-facing side, moved to the left (indicating the short, right-facing side)",,2025-08-28
2025-12-06,Grade 5,Unit 1,"Student Workbook, Section C, Lesson 11, Practice Problem 4",,,69,"The figure has been updated to show the 4ft measurement against the forward-facing side, moved to the left (indicating the short, right-facing side)",,2025-08-28
2025-12-06,Grade 5,Unit 1,Teacher Guide,"Section A, Practice Problem 4",,49,"In the figure, the 2ft unit needs to move to the right, to align with the shortest side.",,2025-08-28
2025-12-06,Grade 5,Unit 1,"Student Workbook, Section A, Practice Problem 4",,,21,"In the figure, the 2ft unit needs to move to the right, to align with the shortest side.",,2025-08-28
2025-12-06,Grade 5,Unit 1,"Student Workbook, Section C, Lesson 11, Activity 2",,,61,The introduction to problem 1 has a typo. Raised-bed garden should only be mentioned one time in the first sentence.,,2025-08-28
2025-12-06,Grade 5,Unit 2,Teacher Guide,"Section A, Lesson 4, Activity 2, Synthesis",,189,"The student response to the 4th question has been updated to ""It represents how many thirds of gold each friend received and it represents the total amount of gold, in grams, being shared by the 3 friends.",,2025-09-08
2025-12-06,Grade 5,Unit 2,Teacher Guide,"Section C, Checkpoint C, Problem 1c",,232,Problem 1c answer key has been updated to 20 3 .,,2025-09-08
2025-12-06,Grade 5,Unit 2,"Student Workbook, Section C, Practice Problem 4",,,80,The curly bracket on the left side of the diagram should extend the length of the shaded region.,,2025-09-08
2025-12-06,Grade 5,Unit 2,Teacher Guide,"Section C, Practice Problem 4",,302,The curly bracket on the left side of the diagram should extend the length of the shaded region.,,2025-09-08
2025-12-06,Grade 5,Unit 2,"Student Workbook, Section C, Practice Problem 5",,,81,The curly bracket at the top of the diagram should extend the length of the shaded region.,,2025-09-08
2025-12-06,Grade 5,Unit 2,Teacher Guide,"Section C, Practice Problem 5",,303,The curly bracket at the top of the diagram should extend the length of the shaded region.,,2025-09-08
2025-12-06,Grade 5,Unit 2,Teacher Guide,"Section B, Lesson 8, Activity 1",,223,"The activity in the Teacher Guide states 8 minutes of independent time, but does not list how much time is to be spent in partners. This has been updated to 6 minutes independent work time, and 1-2 minutes partner work time.",,2025-09-08
2025-12-06,Grade 5,Unit 2,Teacher Guide,"Section C, Lesson 15, Activity 1",,282,"In the activity synthesis, ""Which numbers did you think made sense for the width of the rug in feet?"" should be changed to ""Which numbers did you think made sense for the length of the rug in feet?""",,2025-11-18
2025-12-06,Grade 5,Unit 3,Teacher Guide,"Section B, Lesson 15, Activity 1, Problems 1 And 2",,133,"Problem 1: K and O are matches, not K and P. Problem 2: O: 1/8 mile, not P: 1/8 mile",,2025-09-12
2025-12-06,Grade 5,Unit 3,"Student Workbook, Section C, Lesson 18, Activity 2, Partner A, Problem 3",,,91,"The Teacher Guide is correct, the Student Workbook should say ""A container with 3 kilograms of strawberries is 1 5 full. How many kilograms can the container hold?"" The wording ""that holds"" is incorrect and would lead students to a different answer.",,2025-09-12
2025-12-06,Grade 5,Unit 3,Teacher Guide,"Section A, Practice Problems, Problem 12a",,86,"The answer to the first part of 12a is incorrect. It should be Yes, 4×6=24 .",,2025-09-12
2025-12-06,Grade 5,Unit 4,"Student Workbook, Section B, Lesson 14, Activity 2",,,63,The title of Activity 2 should be Find the Unknown Side Length (Part 2),,2025-09-22
2025-12-06,Grade 5,Unit 4,"Student Workbook, Section C, Lesson 18, Activity 2",,,84,"The problem stem has been updated to ""By 2022, some estimates indicated that the garbage covered about 1,600,000 square kilometers of the surface of the ocean.",,2025-09-22
2025-12-06,Grade 5,Unit 4,"Student Workbook, Section B, Lesson 11, Activity 2",,,51,The directions for Activity 2 have been added: Use Elena’s strategy to complete solving these expressions. / Usa la estrategia de Elena para terminar de encontrar el valor de estas expresiones.,,2025-12-02
2025-12-06,Grade 5,Unit 5,Teacher Guide,"Section A Checkpoint, Problem 3",,19,"In Problem 3, the questions were reversed to ensure answers are correct (hundredths, then tenths).",,2025-01-31
2025-12-06,Grade 5,Unit 5,"Teacher Resource Pack, Cool-downs, Lesson 23",,,36,The first problem was updated to 12÷0.5 .,,2025-01-15
2025-12-06,Grade 5,Unit 5,"Student Workbook, Section B, Practice Problems, Problem 5",,,88,The image of the subtraction problem is missing a decimal between the 8 and 1.,,2025-09-22
2025-12-06,Grade 5,Unit 5,Teacher Guide,"Section B, Lesson 16, Warm-up",,148,"In the sample student response for B, the sentence has been updated to ""...and then add one more hundredth.""",,2025-09-22
2025-12-06,Grade 5,Unit 5,Teacher Guide,"Section B, Lesson 16, Activity 2 And 153",,152,The sample response has been updated in digital to be less confusing for Problem 1 and the Activity Synthesis.,,2025-09-22
2025-12-06,Grade 5,Unit 5,"Student Workbook, Section A, Lesson 1, Activity 2, Problem 4",,,7,The problem stem is missing the numerator (1).,,2025-09-22
2025-12-06,Grade 5,Unit 6,Teacher Guide,"Section C, Lesson 19, Activity 2, Problem 1b",,431,The answer to 1b has been updated to 4 7 +( 1 5 × 4 7 ) .,,2025-10-01
2025-12-06,Grade 5,Unit 6,Teacher Guide,"Section C, Lesson 17, Activity 2, Synthesis",,418,"Under ""Record expressions for all to see"" 5 7 ×4 has been updated to 6 7 ×4 .",,2025-10-01
2025-12-06,Grade 5,Unit 6,Teacher Guide,"Section A, Lesson 1, Cool-down, Problem 3",,278,The student response has been updated from 0.6 to 0.06 .,,2025-10-01
2025-12-06,Grade 5,Unit 7,Teacher Guide,Section B Checkpoint,,49,"In Problem 2 part b, ""isosceles"" has been replaced with ""2 equal side lengths.""",,2024-07-18
2025-12-06,Grade 5,Unit 7,Teacher Guide,"Section B, Lesson 8, Activity 1",,88,"The student responses have been updated for the first column. They are now Row 1: A, C, E, H Row 2: D, L Row 3: B, G",,2025-10-10
2025-12-06,Grade 5,Unit 7,"Teacher Resource Pack, Blackline Masters, Lesson 8, Triangle Cards",,,53,Triangle J has been updated to an equilateral triangle.,,2025-10-10
2025-12-06,Grade 5,Unit 7,Teacher Guide,"Section B, Lesson 7, Activity 1",,79,The Student Responses have been updated to the following: 1. 2. 3. 4. 5. This is impossible because all squares have four right angles. 6. 7.,,2025-10-10
2025-12-06,Grade 5,Unit 8,Teacher Guide,"End-of-course Assessment, Problem 14",,313,"The student sample responses for parts b, c, f, and i have been updated to the correct multiplication equation.",,2025-10-10
2025-12-06,Grade 5,Unit 8,Teacher Guide,"Section A, Lesson 1, Cool-down, Problem 2",,180,"A portion of the sample student response has been updated to use the correct numbers. ""So, I knew my two factors would have 8 tens and 6 tens. Then I tried a few different placements of 3 and 4 as the ones digits until I found the one that made the greatest product.""",,2025-10-10
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section B, Section B Checkpoint",,70-71,"The Responding to Student Thinking supports have been updated in the Teacher Guide, the Checkpoint Answer Key and in the digital Checkpoint.",,2024-06-05
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section C, Section C Checkpoint",,118-119,"The Responding to Student Thinking supports have been added in the Teacher Guide, the Checkpoint Answer Key and in the digital Checkpoint.",,2024-06-05
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section A, Lesson 1, Practice Problem 4",,33,"The answer to Problem 4 was corrected, to B, D, & E.",,2024-08-30
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section B, Lesson 4, Activity 2, Student Task Statement 1a",,79,"In Activity 2, parallelogram A has been updated so both the left and right sides have a length of 5 units.",,2024-08-28
2025-12-06,Grade 6,Unit 1,"Student Workbook, Section B, Lesson 4, Activity 2, Problem A",,,33,"In Activity 2, parallelogram A has been updated so both the left and right sides have a length of 5 units.",,2024-08-28
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section A, Lesson 3, Activity 1",,61,"In the students response for part A, the correct answer is 24. (2×6)+(4×3)=24",,2025-08-19
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section B, Lesson 5, Warm-up, Student Narrative",,,"There is a typo in the last question. It should read: ""How are they different?""",,2025-08-19
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section B, Lesson 4, Lesson Narrative: A Note About Notation",,73,"The ⋅ and × symbols are missing from the second to the last sentence in the Lesson Narrative (a note about notation). It should read ""Explain that the ⋅ symbol and the × symbol both represent multiplication.""",,2025-08-19
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section B, Lesson 6, Goals",,102,"The lesson goal ""Apply the formula for the area of a parallelogram..."" is repeated.",,2025-08-19
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section C, Lesson 8, Activity 1",,141,"For clarity, one of the strategies to monitor different ways of reasoning has been updated. ""For Triangle C, some students may choose to draw rectangles around and on the triangle (as shown here), find half of the area of the largest rectangle, half of the area of the smallest rectangle, and subtract the small area from the large area.""",,2025-08-19
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section C, Lesson 11, Practice Problem 6",,197,Practice Problem 6 has been updated in the Student Response to say a base and a height that multiply to 16 (not 24).,,2025-09-02
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section D, Lesson 16, Practice Problem 3",,278,"The current answer for A is wrong, therefore B will change as well. 3a. A and E 3b. A and B (if the volume is presumed to be 5 cubic units), or B and C, B and D, or C and D (if the volume is presumed to be 6 cubic units)",,2025-08-19
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Unit-at-a-glance, Section C Learning Goals",,6,The Learning Goals for Section C have been updated for the third bullet to include the equation 1 2 ⋅b⋅h . Understand why the process of finding the area of a triangle can be abstracted as 1 2 ⋅b⋅h (or equivalent) and apply the formula to find the area of a triangle.,,2025-08-19
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section B, Lesson 5, Activity 2, Student Response",,95,"In the table, the base of parallelogram D should be 4 units, not 3. The link to the larger image in the Teacher Notes on Card 22 has been updated to the correct units. The table image in the Teacher Notes is incorrect.",,2025-08-28
2025-12-06,Grade 6,Unit 1,Teacher Guide,"Section A, Lesson 2, Activity 2",,41,"Access for Students with Diverse Abilities should say 2 small triangles, not medium.",,2025-09-02
2025-12-06,Grade 6,Unit 2,Teacher Guide,"Section E, Lesson 15",,224,The student response has been updated for 2b. The previous amounts were incorrect. Red: 25 ml Blue: 15 ml Maroon: 40 ml,,2025-08-20
2025-12-06,Grade 6,Unit 2,Teacher Guide,"Section E, Lesson 15",,225,"In the synthesis for Activity 1, the wording has been updated for clarity. It now reads, ""What values would each part of the diagram need to represent to show a 20 ml mixture of green paint? How do you know?""",,2025-08-20
2025-12-06,Grade 6,Unit 2,Teacher Guide,"Section E, Lesson 15 Practice Problem 4",,226,"The final row of Table A reads ""100"" for the student response under elapsed time. This is incorrect and should be 500.",,2025-08-20
2025-12-06,Grade 6,Unit 2,"Student Workbook, Section C, Lesson 10, Practice Problem 1",,,294,"Distances should be measured in inches within the context of the problem. The snail travels a distance in inches, not centimeters for consistency.",,2025-08-20
2025-12-06,Grade 6,Unit 2,Teacher Guide,"Section A, Lesson 1, Practice Problem 5",,29,Practice Problem 5 student answers should be labeled c m 3 and c m 2 .,,2025-09-08
2025-12-06,Grade 6,Unit 2,Teacher Guide,"Section C, Lesson 10, Activity 2",,143,"In the student response for the student task statement, the bottom line should be labeled number of tickets, not months of membership.",,2025-09-08
2025-12-06,Grade 6,Unit 3,"Student Workbook, Section B, Lesson 6, Activity 1, Problem 2",,,395,"In Activity 1, 34 in the table was replaced with 84.",,2024-11-27
2025-12-06,Grade 6,Unit 3,Teacher Guide,"Section B, Lesson 7, Warm-up",,109,"The Launch for the Warm-up was revised to better align with the task. It should read ""Display the image in the Task Statement (or display an actual four-pack of a beverage with a missing bottle). Read the Task Statement as a class. Give students a moment of quiet time to think about whether they would take the deal.""",,2024-08-28
2025-12-06,Grade 6,Unit 3,Teacher Guide,"Section A, Lesson 2",,38,The standard 6.RP.3.d should be added to the alignments table,,2025-08-21
2025-12-06,Grade 6,Unit 3,Teacher Guide,"Section A, Lesson 3, Practice Problem 5",,63,"Practice Problem 5 is from Unit 3 Lesson 1, not Unit 3 Lesson 8.",,2025-08-21
2025-12-06,Grade 6,Unit 3,Teacher Guide,"Section B, Lesson 5, Activity 2",,84,"In the Building on Student Thinking box, oatmeal is referenced. This has been updated to reflect the new context, kinche.",,2025-08-21
2025-12-06,Grade 6,Unit 3,Teacher Guide,"Section B, Lesson 5, Lesson Synthesis",,85,The table within the Lesson Synthesis has been updated to wheat from oats.,,2025-08-21
2025-12-06,Grade 6,Unit 3,"Student Workbook, Section B, Lesson 7, Practice Problems, Problem 5d",,,407,The expression should be (0.25)⋅60 .,,2025-09-12
2025-12-06,Grade 6,Unit 3,Teacher Guide,"Section D, Lesson 17, Activity 1",,261,"In the second paragraph of the Launch, the last sentence has been revised to remove the number 12. It should be ""Consider color coding corresponding features in the two drawings as students explain.""",,2025-08-21
2025-12-06,Grade 6,Unit 4,"Student Workbook, Section B, Lesson 8, Activity 2, Problem 1",,,60,"In the second bullet, liters is referenced as the unit of measurement, but it has been corrected to cups.",,2025-08-26
2025-12-06,Grade 6,Unit 4,Teacher Guide,"Section B, Lesson 8, Activity 2, Problem 1",,118,"In the second bullet, liters is referenced as the unit of measurement, but it has been corrected to cups.",,2025-08-26
2025-12-06,Grade 6,Unit 4,"Student Workbook, Section B, Lesson 5, Warm-up",,,33,"The fraction bar image is incorrect in the row with the sevenths. It has been updated to show 14 1/7ths, not 13.",,2025-08-27
2025-12-06,Grade 6,Unit 4,"Teacher Workbook, Section B, Lesson 5, Warm-up",,,70,"The fraction bar image is incorrect in the row with the sevenths. It has been updated to show 14 1/7ths, not 13.",,2025-08-27
2025-12-06,Grade 6,Unit 4,Teacher Guide,"Mid-unit Assessment B, Problem 2",,144,"The problem stem has been updated to say ""Andre has 4 1 2 cups...""",,2025-09-22
2025-12-06,Grade 6,Unit 4,Teacher Guide,"Section B, Lesson 8, Activity 1, Problem 2",,115,The student response has been updated to 10 4 or 2 1 2 (or equivalent).,,2025-09-22
2025-12-06,Grade 6,Unit 4,Teacher Guide,"Section A, Lesson 3, Activity 1, Problem 1b",,45,"In the sample student response, it has been updated to 14÷2=7 , instead of 14×2=7 .",,2025-09-22
2025-12-06,Grade 6,Unit 4,Teacher Guide,"Section B, Lesson 4, Practice Problems, Problem 1b",,66,"The sample response for Problem 1 should be ""Question: What is in 8 groups if there are 3 groups in 1? Answer: There are 24 groups in 8 groups if there are 3 groups in 1.""",,2025-09-22
2025-12-06,Grade 6,Unit 4,"Student Workbook, Section B, Lesson 5, Activity 1",,,34,"The problem 4 answer choices have been updated to: B. ?⋅ 2 3 =1 , C. 1÷ 2 3 =? , D. 1⋅ 2 3 =? , E. ?÷ 2 3 =1 . This does not impact the Teacher Guide or answer key.",,2025-12-02
2025-12-06,Grade 6,Unit 5,"Student Workbook, Section C, Lesson 10, Practice Problem 2",,,241,"In Jada's work example, the division bar is one row too high, it has been corrected to sit above 657, as it is in Andre's work.",,2025-08-26
2025-12-06,Grade 6,Unit 5,Teacher Guide,"Section C, Lesson 10, Practice Problem 2",,161,"In Jada's work example, the division bar is one row too high, it has been corrected to sit above 657, as it is in Andre's work.",,2025-08-26
2025-12-06,Grade 6,Unit 5,"Student Workbook, Section C, Lesson 11, Lesson Summary",,,247,"The division problem modeled has been updated from 657 divided by 3, to 948 divided by 3, match the text.",,2025-08-26
2025-12-06,Grade 6,Unit 5,Teacher Guide,"Section C, Lesson 12, Cool-down, Problem 1",,181,The division expression has been updated to 43.5÷3 to reflect the example in the student response.,,2025-09-22
2025-12-06,Grade 6,Unit 5,Teacher Guide,"Section C, Lesson 10, Practice Problems, Problem 7b",,162,"The units in the answer key should say millionths, not hundred-thousandths.",,2025-09-22
2025-12-06,Grade 6,Unit 5,Teacher Guide,"Section A, Lesson 4, Activity 2, Problem 4",,66,The 7 should be above the 3 (in the ones place) for this problem.,,2025-09-22
2025-12-06,Grade 6,Unit 5,"Student Workbook, Section A, Lesson 4, Activity 2, Problem 4",,,179,The 7 should be above the 3 (in the ones place) for this problem.,,2025-09-22
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Mid-unit Assessment, Option B Problem 7",,151,"The tape diagram for choice B was updated to reflect the values in the situation: 15.3, and 3.7, not 2.6",,2024-06-20
2025-12-06,Grade 6,Unit 6,"Student Workbook, Section B, Lesson 7, Activity 2, Problem 2b",,,330,"The third column is titled ""Elena"" but should be ""17 books"".",,2025-08-27
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section D, Lesson 16, Practice Problem 1",,213,"The x-axis has been labeled ""x""",,2025-08-27
2025-12-06,Grade 6,Unit 6,"Student Workbook, Section D, Lesson 16, Practice Problem 1",,,410,"The x-axis has been labeled ""x""",,2025-08-27
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section A, Lesson 4, Cool-down",,58,The student response to Problem 1 has been updated to x=8 1 4 .,,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section A, Checkpoint, Problem 1",,16,1a. 38 has been updated to 3 8 . 1b. The question and solution have been updated. 5 should replace the number 15.,,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section A, Lesson 5, Activity 2, Problem 1",,65,The student response has been updated to z=186 .,,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section B, Lesson 9, Activity 1",,112,"In the Activity Synthesis, the teacher notes have been updated to show parentheses around 3+2 for the proper order of operations. ""Tell students that if we want the addition to be done first, we need to use parentheses in the expression. Display 6 ⋅ (3 + 2) and show that it equals 6 ⋅ 5, or 30. Therefore, 6 ⋅ (3 + 2) does represent the area of the large rectangle.""",,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section C, Lesson 12, Activity 1",,164,"In the Activity Synthesis, 2 3 has been updated to 2×2×2 .",,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section B, Lesson 9, Warm-up",,110-111,"Student responses have been updated to: C. 4,995 instead of 5,015. D. 4.995 instead of 4,995",,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section A, Lesson 3, Activity 2",,44,"For diagram C, the equation above has been changed to 11=4z , and the answer below 11 4 =z .",,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section C, Lesson 13, Lesson Synthesis",,171,35 has been changed to 3 5 .,,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section A, Lesson 6, Warm-up",,74,"In the Activity Synthesis, the two fractions listed in the bullets as 60 100 have been updated to 6 100 .",,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section B, Lesson 7, Activity 1, Problem 1a",,89,The student response for Noah has been updated to 372 instead of 362.,,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"End-of-unit Assessment, Option B, Problem 3",,255,Choice D has been updated to 5(8a−2b) .,,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section B, Lesson 7, Activity 1",,90,"In the Activity Synthesis, the variable c has been changed to s to match the table.",,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section D, Lesson 16, Warm-up",,206,"In the Warm-up Synthesis, the second graph now shows Han's age on the y -axis and neighbor's age on the x -axis.",,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section B, Lesson 7, Activity 2",,92,"In the Activity Synthesis, the number of tomatoes has been updated to 6, instead of 8, so it aligns with problem 3c in the Student Task Statement.",,2025-10-02
2025-12-06,Grade 6,Unit 6,"Student Workbook, Section A, Lesson 3, Warm-up And Activity 1",,,299-300,Warm-up: Diagram B has an added line to connect the blue boxes. Activity 1: Diagram C has added lines to connect the pink boxes on the left.,,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section A, Lesson 3, Warm-up And Activity 1",,41-42,Warm-up: Diagram B has an added line to connect the blue boxes. Activity 1: Diagram C has added lines to connect the pink boxes on the left.,,2025-10-02
2025-12-06,Grade 6,Unit 6,Teacher Guide,"Section A, Lesson 5, Practice Problems, Problem 2",,69,"The answer for x has been updated to 11 1 4 , instead of 11 4 .",,2025-10-02
2025-12-06,Grade 6,Unit 7,"Student Workbook, Section C, Lesson 12, Warm-up",,,94,Graph B is incorrectly set up. The numerical values on the x-axis begin too close to the origin. It has been updated to show every value moved one tick mark to the right.,,2025-08-27
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section C, Lesson 12, Warm-up",,144,Graph B is incorrectly set up. The numerical values on the x-axis begin too close to the origin. It has been updated to show every value moved one tick mark to the right.,,2025-08-27
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section A, Lesson 3, Lesson Synthesis And Cool-down",,47-48,The number lines in the Lesson Synthesis and the Cool-down have been updated.,,2025-10-09
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section A, Lesson 7, Practice Problems, Problem 6",,89,"In the quotients for a-d, all 4's have been changed to 6's.",,2025-10-09
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section D, Lesson 18, Activity 2",,213,"In Problem 3b, the student response has been updated. ""The 3 lights will blink together 750 times each day. In 5 hours, there are 300 minutes or 18,000 seconds, and 18,000÷24=750 .",,2025-10-09
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section D, Lesson 17, Practice Problems, Problem 1b",,203,"The student response has been updated to ""...because they are common multiples of 12 and 9."" 15 and 9 is incorrect.",,2025-10-09
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section C, Lesson 15, Activity 2",,184,"In the Activity Synthesis, the question ""How did you find the distances that Andre and Jada traveled?"" has been updated to ""How did you find the distance that Andre traveled?""",,2025-10-09
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section D, Lesson 16, Activity 1",,187,The Lesson Narrative incorrectly states that student will be reasoning about common multiples and least common multiples. This has been updated in the Teacher Notes to common factors and greatest common factors.,,2025-10-09
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section A, Lesson 5, Activity 1, Problem 1",,62,"The student response ""58 doughnuts went out, or she sold 58 doughnuts."" has been removed.",,2025-10-09
2025-12-06,Grade 6,Unit 7,Teacher Guide,"Section C, Lesson 11, Practice Problems, Problem 2",,140,"Point A in the student response has been updated to (1, 2).",,2025-10-09
2025-12-06,Grade 6,Unit 8,"Ca Student Workbook, Section D, Lesson 14, Practice Problem 4",,,307,"Dot plot line are missing, and have been added in digital.",,2025-08-27
2025-12-06,Grade 6,Unit 8,Teacher Guide,"Section A, Lesson 3, Cool-down",,65,"The dot plot has been updated to show three dots at 23, not 4.",,2025-10-09
2025-12-06,Grade 6,Unit 8,Teacher Guide,"End-of-unit Assessment, Problem 7a",,278,"7a has been updated to ""How many students did Jada ask? (To the nearest whole number)""",,2025-10-09
2025-12-06,Grade 6,Unit 8,Teacher Guide,"Section D, Lesson 14, Lesson Synthesis",,213,Dollar signs have been added to the mean and median household incomes.,,2025-10-09
2025-12-06,Grade 6,Unit 8,Teacher Guide,"Section D, Lesson 16, Lesson Synthesis",,238-239,"The Lesson Synthesis has been updated. Lesson synthesis The purpose of this discussion is for students to clarify their understanding of box plots and how they are useful. Continue to add to the display created in an earlier lesson. Include the five-number summary and a box plot diagram to illustrate the vocabulary as well. Invite students to suggest additional language or diagrams that will support their understanding. Review with students: “How is a box plot made?” (The box is a rectangle with the left side at Q1 and the right side at Q3. The line inside the box is the median. The whiskers on the sides extend to the minimum and maximum values of the data set.) “What does a box plot tell you about the shape, center, and spread of a distribution?” (The median is the line in the middle, which tells you about the center. The IQR is the width of the box in the middle, which tells you about the spread. You can also tell if the distribution is roughly symmetrical.) “Why is it useful to use a dot plot and a box plot together?” (The dot plot shows the actual data values while the box plot tells the story of the data in fourths.) “How can the box plot be helpful in comparing two data sets?” (You could compare the minimum and maximum values, where the median falls, and how the data is distributed among the four quarters.)",,2025-10-09
2025-12-06,Grade 6 Accelerated,Unit 1,Teacher Guide,"Section D Checkpoint, Responding To Student Thinking (problem 2)",,181,The word prism is spelled wrong. This was corrected in the IL slides,,2025-07-30
2025-12-06,Grade 6 Accelerated,Unit 1,Teacher Guide,Section D Lesson 11 Activity 1 And 2 And 200,,197,"Times in yellow roundel next to activities 1 and 2 are incorrect. Each should be 25 minutes instead of 15 minutes. Activity 1: 25 min, Activity 2: 25 min.",,2025-07-30
2025-12-06,Grade 6 Accelerated,Unit 1,Teacher Guide,Section B Lesson 5 And 92,,89,Standard 6.G.1 should be written as 6.G.A.1,,2025-07-30
2025-12-06,Grade 6 Accelerated,Unit 1,Teacher Guide,Unit Narrative,,,"In ""A note about multiplication notation"" the letter x is missing in the first and second sentences. It has been updated to ""Students in Accelerated 6 will be writing algebraic expressions and equations involving the letter x. Because x is easily confused with the ""cross"" for multiplication...""",,2025-08-21
2025-12-06,Grade 6 Accelerated,Unit 1,"Student Workbook, Section B, Lesson 6, Activity 2",,,53,"Problem 1 has been updated to 1a and 1b, not 1a and 1a.",,2025-10-10
2025-12-06,Grade 6 Accelerated,Unit 1,"Student Workbook, Section B, Lesson 6, Practice Problems",,,65,"Problem 6 has been updated to remove the repeated answer choices. It has been updated to: e, f, g, h, j, k, n",,2025-11-11
2025-12-06,Grade 6 Accelerated,Unit 1,Teacher Guide,"Section B, Lesson 6, Practice Problems",,118,"Problem 6 has been updated to remove the repeated answer choices. It has been updated to: e, f, g, h, j, k, n",,2025-11-11
2025-12-06,Grade 6 Accelerated,Unit 2,Teacher Guide,"Section A, Lesson 3",,68,"In the Access for Multilingual Learners: MLR8, there are $ symbols in the ratio sentence. It has been updated to: ""I know the ratio ___:___ is equal to ___:___ because...""",,2025-08-20
2025-12-06,Grade 6 Accelerated,Unit 2,Teacher Guide,"Section B, Lesson 4",,88,"In the Student Task Statement, the Problem 1 image with the student response shows the bottom number line (blue paint) that is incorrectly numbered on the tick marks. Problem 4 should be labeled the same as the image from problem 1. The number line has been updated to: blue paint (tablespoons), and is now numbered 0, 6, 12, 18, 24, 30, 36.",,2025-09-08
2025-12-06,Grade 6 Accelerated,Unit 2,"Student Workbook, Section E, Lesson 19, Activity 1",,,301,"In question 2, the second value in the Cost column has been updated to 84.",,2025-11-06
2025-12-06,Grade 6 Accelerated,Unit 2,"Student Workbook, Section B, Lesson 8, Practice Problems",,,220,Problem 1 has been updated to say the snail travels 6 inches in 6 minutes.,,2025-12-01
2025-12-06,Grade 6 Accelerated,Unit 2,Teacher Guide,"Section B, Lesson 8, Practice Problems",,147,Problem 1 has been updated to say the snail travels 6 inches in 6 minutes.,,2025-12-01
2025-12-06,Grade 6 Accelerated,Unit 3,Teacher Guide,"Checkpoint A, Problem 2",,18,"In the solutions, A, C, E, and F should be circled.",,2025-08-21
